id,station,route
odpt.Station:TokyoMetro.Chiyoda.Sendagi,千駄木,千代田線
odpt.Station:TokyoMetro.Chiyoda.NishiNippori,西日暮里,千代田線
odpt.Station:TokyoMetro.Chiyoda.Nijubashimae,二重橋前,千代田線
odpt.Station:TokyoMetro.Chiyoda.Nezu,根津,千代田線
odpt.Station:TokyoMetro.Chiyoda.Nogizaka,乃木坂,千代田線
odpt.Station:TokyoMetro.Chiyoda.Hibiya,日比谷,千代田線
odpt.Station:TokyoMetro.Chiyoda.Machiya,町屋,千代田線
odpt.Station:TokyoMetro.Chiyoda.MeijiJingumae,明治神宮前〈原宿〉,千代田線
odpt.Station:TokyoMetro.Chiyoda.Yushima,湯島,千代田線
odpt.Station:TokyoMetro.Chiyoda.YoyogiUehara,代々木上原,千代田線
odpt.Station:TokyoMetro.Chiyoda.YoyogiKoen,代々木公園,千代田線
odpt.Station:TokyoMetro.Ginza.AoyamaItchome,青山一丁目,銀座線
odpt.Station:TokyoMetro.Ginza.AkasakaMitsuke,赤坂見附,銀座線
odpt.Station:TokyoMetro.Ginza.Asakusa,浅草,銀座線
odpt.Station:TokyoMetro.Ginza.Inaricho,稲荷町,銀座線
odpt.Station:TokyoMetro.Ginza.Ueno,上野,銀座線
odpt.Station:TokyoMetro.Ginza.UenoHirokoji,上野広小路,銀座線
odpt.Station:TokyoMetro.Ginza.OmoteSando,表参道,銀座線
odpt.Station:TokyoMetro.Ginza.Gaiemmae,外苑前,銀座線
odpt.Station:TokyoMetro.Ginza.Kanda,神田,銀座線
odpt.Station:TokyoMetro.Ginza.Kyobashi,京橋,銀座線
odpt.Station:TokyoMetro.Ginza.Ginza,銀座,銀座線
odpt.Station:TokyoMetro.Ginza.Shibuya,渋谷,銀座線
odpt.Station:TokyoMetro.Ginza.Shimbashi,新橋,銀座線
odpt.Station:TokyoMetro.Ginza.Suehirocho,末広町,銀座線
odpt.Station:TokyoMetro.Ginza.TameikeSanno,溜池山王,銀座線
odpt.Station:TokyoMetro.Ginza.Tawaramachi,田原町,銀座線
